frame,x_bz_first,n_bz,n_et
0,0.6521739130434783,15,8
1,0.6666666666666666,18,9
2,0.625,15,9
3,0.6666666666666666,16,8
4,0.6363636363636364,14,8
5,0.6538461538461539,17,9
6,0.6666666666666666,16,8
7,0.6956521739130435,16,7
8,0.7272727272727273,16,6
9,0.6818181818181818,15,7
10,0.7727272727272727,17,5
11,0.7916666666666666,19,5
12,0.8260869565217391,19,4
13,0.8636363636363636,19,3
14,0.8095238095238095,17,4
15,0.8571428571428571,18,3
16,0.8636363636363636,19,3
17,0.8181818181818182,18,4
18,0.8,20,5
19,0.7619047619047619,16,5
20,0.8,16,4
21,0.7727272727272727,17,5
22,0.8095238095238095,17,4
23,0.76,19,6
24,0.7894736842105263,15,4
25,0.8571428571428571,18,3
26,0.8695652173913043,20,3
27,0.8260869565217391,19,4
28,0.8181818181818182,18,4
29,0.8,20,5
30,0.782608695652174,18,5
31,0.7619047619047619,16,5
32,0.7368421052631579,14,5
33,0.8181818181818182,18,4
34,0.75,18,6
35,0.75,18,6
36,0.7619047619047619,16,5
37,0.7619047619047619,16,5
38,0.8095238095238095,17,4
39,0.76,19,6
40,0.75,18,6
41,0.6956521739130435,16,7
42,0.6956521739130435,16,7
43,0.6818181818181818,15,7
44,0.6666666666666666,16,8
45,0.6818181818181818,15,7
46,0.6956521739130435,16,7
47,0.6956521739130435,16,7
48,0.7083333333333334,17,7
49,0.6956521739130435,16,7
50,0.68,17,8
51,0.72,18,7
52,0.6956521739130435,16,7
53,0.6818181818181818,15,7
54,0.6666666666666666,14,7
55,0.6818181818181818,15,7
56,0.7142857142857143,15,6
57,0.6818181818181818,15,7
58,0.7391304347826086,17,6
59,0.7272727272727273,16,6
60,0.7391304347826086,17,6
61,0.76,19,6
62,0.7272727272727273,16,6
63,0.7727272727272727,17,5
64,0.7727272727272727,17,5
65,0.7,14,6
66,0.72,18,7
67,0.6956521739130435,16,7
68,0.8,16,4
69,0.7727272727272727,17,5
70,0.8,16,4
71,0.7222222222222222,13,5
72,0.7777777777777778,14,4
73,0.7727272727272727,17,5
74,0.7727272727272727,17,5
75,0.7727272727272727,17,5
76,0.7727272727272727,17,5
77,0.75,18,6
78,0.7619047619047619,16,5
79,0.8,20,5
80,0.7142857142857143,15,6
81,0.7142857142857143,15,6
82,0.7619047619047619,16,5
83,0.7619047619047619,16,5
84,0.75,15,5
85,0.7142857142857143,15,6
86,0.76,19,6
87,0.782608695652174,18,5
88,0.8,20,5
89,0.7692307692307693,20,6
90,0.7727272727272727,17,5
91,0.782608695652174,18,5
92,0.7692307692307693,20,6
93,0.7692307692307693,20,6
94,0.7692307692307693,20,6
95,0.6666666666666666,16,8
96,0.68,17,8
97,0.72,18,7
98,0.7083333333333334,17,7
99,0.7083333333333334,17,7
100,0.6956521739130435,16,7
101,0.7,14,6
102,0.7083333333333334,17,7
103,0.75,18,6
104,0.6956521739130435,16,7
105,0.7083333333333334,17,7
106,0.7083333333333334,17,7
107,0.72,18,7
108,0.7307692307692307,19,7
