frame,x_bz_first,n_bz,n_et
0,0.6086956521739131,14,9
1,0.5909090909090909,13,9
2,0.5217391304347826,12,11
3,0.5652173913043478,13,10
4,0.625,15,9
5,0.5909090909090909,13,9
6,0.5652173913043478,13,10
7,0.5652173913043478,13,10
8,0.5652173913043478,13,10
9,0.55,11,9
10,0.5652173913043478,13,10
11,0.5833333333333334,14,10
12,0.52,13,12
13,0.5769230769230769,15,11
14,0.6153846153846154,16,10
15,0.5384615384615384,14,12
16,0.52,13,12
17,0.52,13,12
18,0.5384615384615384,14,12
19,0.5416666666666666,13,11
20,0.52,13,12
21,0.45454545454545453,10,12
22,0.5384615384615384,14,12
23,0.5,15,15
24,0.4642857142857143,13,15
25,0.4444444444444444,12,15
26,0.375,9,15
27,0.4444444444444444,12,15
28,0.5384615384615384,14,12
29,0.5652173913043478,13,10
30,0.5517241379310345,16,13
31,0.48,12,13
32,0.52,13,12
33,0.5,12,12
34,0.56,14,11
35,0.5555555555555556,15,12
36,0.5769230769230769,15,11
37,0.6,15,10
38,0.5909090909090909,13,9
39,0.6521739130434783,15,8
40,0.65,13,7
41,0.6956521739130435,16,7
42,0.76,19,6
43,0.6666666666666666,16,8
44,0.68,17,8
45,0.7037037037037037,19,8
46,0.6923076923076923,18,8
47,0.6785714285714286,19,9
48,0.72,18,7
49,0.7391304347826086,17,6
50,0.7916666666666666,19,5
51,0.76,19,6
52,0.782608695652174,18,5
53,0.72,18,7
54,0.782608695652174,18,5
55,0.8260869565217391,19,4
56,0.7727272727272727,17,5
57,0.85,17,3
58,0.782608695652174,18,5
59,0.7916666666666666,19,5
60,0.75,18,6
61,0.7391304347826086,17,6
62,0.8181818181818182,18,4
63,0.8333333333333334,20,4
64,0.782608695652174,18,5
65,0.8,20,5
66,0.7391304347826086,17,6
67,0.8095238095238095,17,4
68,0.782608695652174,18,5
69,0.75,15,5
70,0.7272727272727273,16,6
71,0.7272727272727273,16,6
72,0.6956521739130435,16,7
73,0.75,18,6
74,0.6818181818181818,15,7
75,0.75,18,6
76,0.7391304347826086,17,6
77,0.76,19,6
78,0.7727272727272727,17,5
79,0.7727272727272727,17,5
80,0.7727272727272727,17,5
81,0.7894736842105263,15,4
82,0.7894736842105263,15,4
83,0.7391304347826086,17,6
84,0.782608695652174,18,5
85,0.8181818181818182,18,4
86,0.7692307692307693,20,6
87,0.7916666666666666,19,5
88,0.782608695652174,18,5
89,0.8260869565217391,19,4
90,0.8260869565217391,19,4
91,0.8095238095238095,17,4
92,0.8260869565217391,19,4
93,0.85,17,3
94,0.8095238095238095,17,4
95,0.8636363636363636,19,3
96,0.7916666666666666,19,5
97,0.8095238095238095,17,4
98,0.782608695652174,18,5
99,0.8095238095238095,17,4
100,0.7619047619047619,16,5
101,0.7083333333333334,17,7
102,0.8421052631578947,16,3
103,0.75,15,5
104,0.75,15,5
105,0.6818181818181818,15,7
106,0.7142857142857143,15,6
107,0.7142857142857143,15,6
108,0.7142857142857143,15,6
109,0.8,16,4
110,0.7894736842105263,15,4
111,0.8095238095238095,17,4
112,0.8,16,4
113,0.85,17,3
114,0.8095238095238095,17,4
115,0.8260869565217391,19,4
116,0.7727272727272727,17,5
117,0.8260869565217391,19,4
118,0.782608695652174,18,5
119,0.7916666666666666,19,5
120,0.8,20,5
121,0.7391304347826086,17,6
122,0.8095238095238095,17,4
123,0.7619047619047619,16,5
124,0.7391304347826086,17,6
125,0.8181818181818182,18,4
126,0.8260869565217391,19,4
127,0.7727272727272727,17,5
128,0.8,20,5
129,0.8181818181818182,18,4
130,0.9047619047619048,19,2
131,0.8695652173913043,20,3
132,0.7916666666666666,19,5
133,0.782608695652174,18,5
134,0.7727272727272727,17,5
135,0.7391304347826086,17,6
136,0.782608695652174,18,5
137,0.7391304347826086,17,6
138,0.8260869565217391,19,4
139,0.782608695652174,18,5
140,0.8181818181818182,18,4
141,0.7894736842105263,15,4
142,0.8095238095238095,17,4
143,0.8095238095238095,17,4
144,0.7727272727272727,17,5
145,0.782608695652174,18,5
146,0.8181818181818182,18,4
147,0.8947368421052632,17,2
148,0.8636363636363636,19,3
149,0.7894736842105263,15,4
150,0.7619047619047619,16,5
151,0.7368421052631579,14,5
152,0.875,14,2
153,0.7619047619047619,16,5
154,0.7619047619047619,16,5
155,0.6956521739130435,16,7
156,0.75,18,6
157,0.75,18,6
158,0.6818181818181818,15,7
159,0.6818181818181818,15,7
160,0.6818181818181818,15,7
161,0.6363636363636364,14,8
162,0.6842105263157895,13,6
163,0.6956521739130435,16,7
164,0.6521739130434783,15,8
165,0.6086956521739131,14,9
166,0.6153846153846154,16,10
167,0.5909090909090909,13,9
168,0.5909090909090909,13,9
169,0.6086956521739131,14,9
170,0.64,16,9
171,0.68,17,8
172,0.7083333333333334,17,7
173,0.7391304347826086,17,6
174,0.75,18,6
175,0.7727272727272727,17,5
176,0.8181818181818182,18,4
177,0.8571428571428571,18,3
178,0.8095238095238095,17,4
179,0.7307692307692307,19,7
180,0.7916666666666666,19,5
181,0.8,16,4
182,0.8,16,4
183,0.7272727272727273,16,6
184,0.7916666666666666,19,5
185,0.782608695652174,18,5
186,0.782608695652174,18,5
187,0.8181818181818182,18,4
188,0.8571428571428571,18,3
189,0.9090909090909091,20,2
190,0.9130434782608695,21,2
191,0.9047619047619048,19,2
192,0.8181818181818182,18,4
193,0.8333333333333334,20,4
194,0.8181818181818182,18,4
195,0.8095238095238095,17,4
196,0.7619047619047619,16,5
197,0.8,16,4
198,0.7619047619047619,16,5
