# Chunk-averaged data for fix zd and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5000 174 1664.0000000000002
  1 0.125 128 0.612172
  2 0.375 0 0
  3 0.625 0 0
  4 0.875 0 0
  5 1.125 0 0
  6 1.375 0 0
  7 1.625 0 0
  8 1.875 128 0.612172
  9 2.125 0 0
  10 2.375 0 0
  11 2.625 0 0
  12 2.875 0 0
  13 3.125 0 0
  14 3.375 4.46 0.0213304
  15 3.625 119.46 0.571329
  16 3.875 4.08 0.019513
  17 4.125 0 0
  18 4.375 0 0
  19 4.625 0 0
  20 4.875 0 0
  21 5.125 0.66 0.00315651
  22 5.375 95 0.454346
  23 5.625 32.32 0.154573
  24 5.875 0.02 9.56519e-05
  25 6.125 0 0
  26 6.375 0 0
  27 6.625 0 0
  28 6.875 0.14 0.000669563
  29 7.125 48.66 0.232721
  30 7.375 78.52 0.375529
  31 7.625 0.68 0.00325216
  32 7.875 0 0
  33 8.125 0 0
  34 8.375 0 0
  35 8.625 0.02 9.56519e-05
  36 8.875 16.22 0.0775737
  37 9.125 103.86 0.49672
  38 9.375 7.9 0.0377825
  39 9.625 0 0
  40 9.875 0 0
  41 10.125 0 0
  42 10.375 0 0
  43 10.625 3.5 0.0167391
  44 10.875 91.54 0.437799
  45 11.125 32.9 0.157347
  46 11.375 0.06 0.000286956
  47 11.625 0 0
  48 11.875 0 0
  49 12.125 0 0
  50 12.375 0.66 0.00315651
  51 12.625 57.24 0.273756
  52 12.875 69.32 0.331529
  53 13.125 0.78 0.00373042
  54 13.375 0 0
  55 13.625 0 0
  56 13.875 0 0
  57 14.125 0.08 0.000382607
  58 14.375 26.68 0.1276
  59 14.625 92.36 0.44172
  60 14.875 8.88 0.0424694
  61 15.125 0 0
  62 15.375 0 0
  63 15.625 0 0
  64 15.875 0 0
  65 16.125 8.38 0.0400781
  66 16.375 87.22 0.417138
  67 16.625 32.3 0.154478
  68 16.875 0.1 0.000478259
  69 17.125 0 0
  70 17.375 0 0
  71 17.625 0 0
  72 17.875 1.66 0.0079391
  73 18.125 61.8 0.295564
  74 18.375 63.02 0.301399
  75 18.625 1.52 0.00726954
  76 18.875 0 0
  77 19.125 0 0
  78 19.375 0 0
  79 19.625 0.18 0.000860867
  80 19.875 39.14 0.187191
  81 20.125 80.2 0.383564
  82 20.375 8.48 0.0405564
  83 20.625 0 0
  84 20.875 0 0
  85 21.125 0 0
  86 21.375 0.14 0.000669563
  87 21.625 25.96 0.124156
  88 21.875 79.3 0.37926
  89 22.125 22.42 0.107226
  90 22.375 0.18 0.000860867
  91 22.625 0 0
  92 22.875 0 0
  93 23.125 0 0
  94 23.375 0 0
  95 23.625 0 0
  96 23.875 0 0
  97 24.125 0 0
  98 24.375 0 0
  99 24.625 0 0
  100 24.875 0 0
  101 25.125 0 0
  102 25.375 0 0
  103 25.625 0 0
  104 25.875 0 0
  105 26.125 0 0
  106 26.375 0 0
  107 26.625 0 0
  108 26.875 0 0
  109 27.125 0 0
  110 27.375 0 0
  111 27.625 0 0
  112 27.875 0 0
  113 28.125 0 0
  114 28.375 0 0
  115 28.625 0 0
  116 28.875 0 0
  117 29.125 0 0
  118 29.375 0 0
  119 29.625 0 0
  120 29.875 0 0
  121 30.125 0 0
  122 30.375 0 0
  123 30.625 0 0
  124 30.875 0 0
  125 31.125 0 0
  126 31.375 0 0
  127 31.625 0 0
  128 31.875 0 0
  129 32.125 0 0
  130 32.375 0 0
  131 32.625 0 0
  132 32.875 0 0
  133 33.125 0 0
  134 33.375 0 0
  135 33.625 0 0
  136 33.875 0 0
  137 34.125 0 0
  138 34.375 0 0
  139 34.625 0 0
  140 34.875 0 0
  141 35.125 0 0
  142 35.375 0 0
  143 35.625 0 0
  144 35.875 0 0
  145 36.125 0 0
  146 36.375 0 0
  147 36.625 0 0
  148 36.875 0 0
  149 37.125 0 0
  150 37.375 0 0
  151 37.625 0 0
  152 37.875 0 0
  153 38.125 0 0
  154 38.375 0 0
  155 38.625 0 0
  156 38.875 0 0
  157 39.125 0 0
  158 39.375 0 0
  159 39.625 0 0
  160 39.875 0 0
  161 40.125 0 0
  162 40.375 0 0
  163 40.625 0 0
  164 40.875 0 0
  165 41.125 0 0
  166 41.375 0 0
  167 41.625 0 0
  168 41.875 0 0
  169 42.125 0 0
  170 42.375 0 0
  171 42.625 0 0
  172 42.875 0 0
  173 43.125 0 0
  174 43.375 0 0
