# Time-averaged data for fix msdavg
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4]
0 0 0 0 0
100 0.0823504 0.0854242 0.0822751 0.25005
200 0.180346 0.188491 0.184307 0.553144
300 0.287699 0.296868 0.299699 0.884266
400 0.414707 0.409379 0.402461 1.22655
500 0.53928 0.532813 0.508536 1.58063
600 0.663285 0.664449 0.625835 1.95357
700 0.766613 0.784367 0.729842 2.28082
800 0.862813 0.892439 0.855537 2.61079
900 0.960746 1.00231 0.970937 2.934
1000 1.05323 1.09895 1.08398 3.23616
1100 1.15276 1.1935 1.18331 3.52957
1200 1.26927 1.29339 1.29503 3.85769
1300 1.38599 1.42264 1.43268 4.24131
1400 1.48364 1.54429 1.56063 4.58855
1500 1.56316 1.63794 1.69467 4.89577
1600 1.66946 1.77911 1.82343 5.27201
1700 1.79036 1.87983 1.93511 5.6053
1800 1.94092 1.98589 2.04583 5.97264
1900 2.0625 2.12279 2.17631 6.36159
2000 2.20289 2.24238 2.3061 6.75137
2100 2.33777 2.36771 2.41772 7.12321
2200 2.4883 2.51231 2.52763 7.52824
2300 2.62428 2.59796 2.61347 7.83571
2400 2.73099 2.74198 2.71101 8.18397
2500 2.83982 2.8795 2.80596 8.52528
2600 2.93294 3.02781 2.93317 8.89392
2700 3.02642 3.16072 3.04902 9.23616
2800 3.156 3.28928 3.13614 9.58142
2900 3.25297 3.40065 3.26012 9.91373
3000 3.28721 3.53878 3.39767 10.2237
3100 3.38702 3.67208 3.50099 10.5601
3200 3.44492 3.75222 3.5982 10.7953
3300 3.55453 3.88829 3.69717 11.14
3400 3.70782 3.9859 3.81877 11.5125
3500 3.84085 4.14363 3.91901 11.9035
3600 3.98318 4.25623 3.98422 12.2236
3700 4.10661 4.35286 4.12586 12.5853
3800 4.24573 4.49257 4.27262 13.0109
3900 4.35656 4.60783 4.40668 13.3711
4000 4.52264 4.69644 4.50167 13.7207
4100 4.67783 4.79108 4.61815 14.0871
4200 4.78623 4.95439 4.73962 14.4802
4300 4.93576 5.02407 4.85613 14.816
4400 5.11839 5.10078 4.98117 15.2003
4500 5.25496 5.26291 5.07534 15.5932
4600 5.40097 5.42605 5.13267 15.9597
4700 5.49564 5.51649 5.23175 16.2439
4800 5.59171 5.58335 5.34196 16.517
4900 5.72028 5.68646 5.44122 16.848
5000 5.80972 5.80234 5.54755 17.1596
