# Time-averaged data for fix rdfavg
# TimeStep Number-of-rows
# Row c_rdf1[1] c_rdf1[2] c_rdf1[3]
1000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000568475 9.76563e-05
37 0.9125 0.0127278 0.00241211
38 0.9375 0.102786 0.0221387
39 0.9625 0.371683 0.0973242
40 0.9875 0.8749 0.283613
41 1.0125 1.47956 0.614805
42 1.0375 1.95978 1.07541
43 1.0625 2.29531 1.64118
44 1.0875 2.41483 2.26476
45 1.1125 2.36148 2.90292
46 1.1375 2.21373 3.52833
47 1.1625 2.05467 4.1346
48 1.1875 1.85816 4.70672
49 1.2125 1.68526 5.24768
50 1.2375 1.52873 5.75883
51 1.2625 1.37855 6.23858
52 1.2875 1.26497 6.69642
53 1.3125 1.15057 7.12917
54 1.3375 1.06764 7.54618
55 1.3625 0.988202 7.94673
56 1.3875 0.932299 8.33861
57 1.4125 0.868257 8.71686
58 1.4375 0.833643 9.09298
59 1.4625 0.804536 9.46871
60 1.4875 0.784751 9.84783
61 1.5125 0.762494 10.2287
62 1.5375 0.741206 10.6113
63 1.5625 0.739694 11.0055
64 1.5875 0.73099 11.4078
65 1.6125 0.731561 11.8231
66 1.6375 0.740078 12.2564
67 1.6625 0.748768 12.7082
68 1.6875 0.754394 13.1773
69 1.7125 0.77472 13.6733
70 1.7375 0.794995 14.1974
71 1.7625 0.82007 14.7536
72 1.7875 0.849733 15.3464
73 1.8125 0.875091 15.9741
74 1.8375 0.900859 16.6382
75 1.8625 0.929604 17.3423
76 1.8875 0.960274 18.0892
77 1.9125 0.995638 18.8843
78 1.9375 1.02835 19.7272
79 1.9625 1.05943 20.6181
80 1.9875 1.08941 21.5576
81 2.0125 1.1228 22.5505
82 2.0375 1.13924 23.5832
83 2.0625 1.14957 24.6509
84 2.0875 1.15948 25.7541
85 2.1125 1.16639 26.8905
86 2.1375 1.16361 28.0513
87 2.1625 1.15873 29.2344
88 2.1875 1.14751 30.4333
89 2.2125 1.12558 31.6363
90 2.2375 1.10934 32.8489
91 2.2625 1.08619 34.0629
92 2.2875 1.07288 35.2887
93 2.3125 1.05131 36.5162
94 2.3375 1.02838 37.743
95 2.3625 1.00878 38.9723
96 2.3875 0.985142 40.1984
97 2.4125 0.97767 41.4408
98 2.4375 0.961509 42.6881
99 2.4625 0.951796 43.9482
100 2.4875 0.941819 45.2206
2000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 5.96466e-05 9.76563e-06
36 0.8875 0.00101386 0.000185547
37 0.9125 0.0141243 0.00277344
38 0.9375 0.0966596 0.0214648
39 0.9625 0.373775 0.0976465
40 0.9875 0.897212 0.290137
41 1.0125 1.47052 0.621797
42 1.0375 1.99478 1.09418
43 1.0625 2.28899 1.66268
44 1.0875 2.38469 2.28313
45 1.1125 2.35807 2.92519
46 1.1375 2.21954 3.55697
47 1.1625 2.04844 4.16597
48 1.1875 1.86464 4.74442
49 1.2125 1.69769 5.2935
50 1.2375 1.51792 5.80487
51 1.2625 1.39427 6.29376
52 1.2875 1.2699 6.75685
53 1.3125 1.15776 7.1956
54 1.3375 1.06822 7.61599
55 1.3625 0.996957 8.02313
56 1.3875 0.93206 8.41788
57 1.4125 0.889957 8.80851
58 1.4375 0.836858 9.18894
59 1.4625 0.816098 9.57295
60 1.4875 0.781537 9.95337
61 1.5125 0.758024 10.3349
62 1.5375 0.735729 10.7175
63 1.5625 0.734452 11.1119
64 1.5875 0.722703 11.5126
65 1.6125 0.721561 11.9253
66 1.6375 0.729571 12.3557
67 1.6625 0.736593 12.8036
68 1.6875 0.75168 13.2745
69 1.7125 0.765631 13.7684
70 1.7375 0.790182 14.2932
71 1.7625 0.810187 14.8469
72 1.7875 0.82942 15.4299
73 1.8125 0.858459 16.0503
74 1.8375 0.897196 16.7167
75 1.8625 0.931391 17.4275
76 1.8875 0.956357 18.177
77 1.9125 0.996937 18.9792
78 1.9375 1.02921 19.8291
79 1.9625 1.06392 20.7306
80 1.9875 1.0893 21.6772
81 2.0125 1.12171 22.6766
82 2.0375 1.14409 23.7215
83 2.0625 1.1628 24.8097
84 2.0875 1.16574 25.9272
85 2.1125 1.17701 27.0827
86 2.1375 1.16593 28.2546
87 2.1625 1.16294 29.451
88 2.1875 1.14417 30.6554
89 2.2125 1.13543 31.8781
90 2.2375 1.11593 33.1071
91 2.2625 1.09644 34.3418
92 2.2875 1.07234 35.5762
93 2.3125 1.05307 36.815
94 2.3375 1.02614 38.0485
95 2.3625 1.01059 39.2893
96 2.3875 0.992859 40.5343
97 2.4125 0.975623 41.7834
98 2.4375 0.962325 43.0412
99 2.4625 0.948412 44.3064
100 2.4875 0.939157 45.5848
3000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000513893 8.78906e-05
37 0.9125 0.0125576 0.00235352
38 0.9375 0.0975628 0.0209277
39 0.9625 0.382766 0.0977246
