   Step          Temp          Press          PotEng         KinEng         TotEng        Density    
         0   1             -5.3915295     -6.7733681      1.4992676     -5.2741005      0.8442       
         1   1             -5.3915295     -6.7733681      1.4992676     -5.2741005      0.8442       
Loop time of 0.00178033 on 1 procs for 1 steps with 2048 atoms
   Step          Temp          Press          PotEng         KinEng         TotEng        Density    
         1   1             -5.3915295     -6.7733681      1.4992676     -5.2741005      0.8442       
       200   0.67516745    -0.98870871    -5.9710824      1.0122567     -4.9588257      0.8442       
       400   0.82994112     0.53543315    -5.7050122      1.2443038     -4.4607084      0.8442       
       600   0.97592769     1.933712      -5.4503208      1.4631767     -3.987144       0.8442       
       800   1.0257953      2.8123905     -5.2901775      1.5379417     -3.7522358      0.8442       
      1000   0.98424673     2.5765751     -5.3442803      1.4756492     -3.8686311      0.8442       
      1200   0.98700315     2.4288333     -5.3772791      1.4797818     -3.8974973      0.8442       
      1400   1.0345549      2.6932811     -5.3204273      1.5510747     -3.7693527      0.8442       
      1600   0.98406654     2.5379723     -5.3433475      1.4753791     -3.8679684      0.8442       
      1800   0.983614       2.5493618     -5.350112       1.4747006     -3.8754114      0.8442       
      2000   1.0248972      2.69533       -5.3140252      1.5365952     -3.7774299      0.8442       
      2001   1.0261673      2.6872973     -5.3159853      1.5384993     -3.777486       0.8442       
Loop time of 1.40295 on 1 procs for 2000 steps with 2048 atoms
   Step          Temp          Press          PotEng         KinEng         TotEng        Density    
      2001   1.0261673      2.6872973     -5.3159853      1.5384993     -3.777486       0.8442       
      2200   0.90015088     0.68502289    -5.1724891      1.349567      -3.8229221      0.78625185   
      2400   0.91467578     0.62749178    -4.9420856      1.3713437     -3.5707419      0.7563066    
      2600   0.95682365     0.8573107     -4.7438559      1.4345347     -3.3093213      0.73520009   
      2800   0.99409929     0.65995806    -4.6143203      1.4904208     -3.1238995      0.71435223   
      3000   1.0293427      0.37998664    -4.5480854      1.5432601     -3.0048252      0.70015587   
      3200   0.99947349     0.43159124    -4.4866962      1.4984782     -2.988218       0.69363697   
      3400   1.0107444      0.49883677    -4.4689543      1.5153763     -2.9535781      0.69290756   
      3600   1.0212885      0.33464129    -4.4806813      1.5311848     -2.9494965      0.69086404   
      3800   1.0041634      0.42972527    -4.4927723      1.5055096     -2.9872628      0.69129916   
      4000   1.0099091      0.64052979    -4.454901       1.514124      -2.940777       0.69343149   
      4200   0.98512169     0.42831674    -4.5010302      1.476961      -3.0240692      0.69430334   
      4400   1.0206676      0.59908078    -4.4958254      1.5302538     -2.9655715      0.6982057    
      4600   0.98478647     0.37438376    -4.5155233      1.4764584     -3.0390649      0.6961186    
      4800   0.99560652     0.54875134    -4.5093831      1.4926806     -3.0167026      0.6984436    
      5000   1.0215782      0.45023651    -4.517365       1.5316191     -2.9857459      0.69645882   
      5001   1.0223919      0.44723875    -4.5190073      1.532839      -2.9861683      0.69644014   
Loop time of 2.23597 on 1 procs for 3000 steps with 2048 atoms
   Step          Temp          Press          PotEng         KinEng         TotEng        Density    
         0   1.0223919      0.44723875    -4.5190073      1.532839      -2.9861683      0.69644014   
       100   0.97367007     0.55964429    -4.4734019      1.459792      -3.0136099      0.69437245   
       200   0.99488895     0.31582881    -4.5124253      1.4916047     -3.0208206      0.69239994   
       300   0.99555458     0.5741644     -4.4598309      1.4926027     -2.9672282      0.69393114   
       400   1.0381062      0.49154248    -4.4964467      1.556399      -2.9400477      0.69529417   
       500   0.99980888     0.53871134    -4.48411        1.498981      -2.985129       0.69544528   
       600   0.9908695      0.41349522    -4.4952389      1.4855785     -3.0096604      0.69502176   
       700   0.99924446     0.50757996    -4.4961642      1.4981348     -2.9980294      0.69564646   
       800   0.99721899     0.52787332    -4.4843584      1.4950981     -2.9892603      0.69665224   
       900   1.0004261      0.54937838    -4.5025037      1.4999064     -3.0025974      0.69765395   
      1000   0.97202406     0.4171232     -4.5083619      1.4573242     -3.0510377      0.69740181   
      1100   0.99243945     0.43165821    -4.5317253      1.4879323     -3.043793       0.69861301   
      1200   1.0137708      0.60715846    -4.5147461      1.5199137     -2.9948324      0.70073039   
      1300   1.0295106      0.52223739    -4.5358523      1.5435119     -2.9923404      0.70079636   
      1400   0.98370566     0.35947399    -4.5278438      1.474838      -3.0530058      0.69900465   
      1500   0.97186858     0.49082853    -4.5218178      1.4570911     -3.0647267      0.69924201   
      1600   0.99291026     0.48988418    -4.5311028      1.4886382     -3.0424646      0.70102881   
      1700   0.99954878     0.54336517    -4.5284458      1.4985911     -3.0298547      0.7027659    
      1800   1.0158195      0.52185747    -4.5575911      1.5229853     -3.0346059      0.70358108   
      1900   0.99331348     0.51178025    -4.5444067      1.4892427     -3.055164       0.70175431   
      2000   0.99153757     0.39492767    -4.5217356      1.4865801     -3.0351555      0.69860763   
      2100   0.99760531     0.61494154    -4.4711881      1.4956773     -2.9755108      0.69727012   
