# R/Ang   E/Eh
  0.50  -1.061149275298
  0.60  -1.121408970693
  0.70  -1.143977431027
  0.80  -1.146973861238
  0.90  -1.139684316773
  1.00  -1.127199393502
  1.10  -1.112449389359
  1.20  -1.097155696661
  1.30  -1.082327129673
  1.40  -1.068544227948
  1.50  -1.056125381326
  1.60  -1.045220768988
  1.70  -1.035864467486
  1.80  -1.028005997014
  1.90  -1.021534262130
  2.00  -1.016299293295
  2.10  -1.012132108022
  2.20  -1.008861235539
  2.30  -1.006324814378
  2.40  -1.004378168125
  2.50  -1.002897234882
  2.60  -1.001779078699
  2.70  -1.000940366403
  2.80  -1.000314877469
  2.90  -0.999850738348
  3.00  -0.999507779267
