# R/Ang   E/Eh
  0.40  -0.914348695341
  0.50  -1.048800558370
  0.60  -1.106892476181
  0.70  -1.126924692578
  0.80  -1.127000720631
  0.90  -1.116391299819
  1.00  -1.100153763988
  1.10  -1.081170783302
  1.20  -1.061111996654
  1.30  -1.040938737227
  1.40  -1.021196836061
  1.50  -1.002192744107
  1.60  -0.984096787760
  1.70  -0.966999452552
  1.80  -0.950939357081
  1.90  -0.935917681451
  2.00  -0.921908592774
  2.10  -0.908868902632
  2.20  -0.896746356301
  2.30  -0.885485517246
  2.40  -0.875031198975
  2.50  -0.865330118989
  2.60  -0.856331560745
  2.70  -0.847987608162
  2.80  -0.840253240350
  2.90  -0.833086373947
  3.00  -0.826447842938
