# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)   
  -6.165  0.370E-08  0.123E-08  0.123E-08  0.123E-08
  -6.115  0.405E-07  0.135E-07  0.135E-07  0.135E-07
  -6.065  0.341E-06  0.114E-06  0.114E-06  0.114E-06
  -6.015  0.224E-05  0.746E-06  0.746E-06  0.746E-06
  -5.965  0.115E-04  0.384E-05  0.384E-05  0.384E-05
  -5.915  0.471E-04  0.157E-04  0.157E-04  0.157E-04
  -5.865  0.156E-03  0.520E-04  0.520E-04  0.520E-04
  -5.815  0.428E-03  0.143E-03  0.143E-03  0.143E-03
  -5.765  0.988E-03  0.329E-03  0.329E-03  0.329E-03
  -5.715  0.195E-02  0.651E-03  0.651E-03  0.651E-03
  -5.665  0.335E-02  0.112E-02  0.112E-02  0.112E-02
  -5.615  0.510E-02  0.170E-02  0.170E-02  0.170E-02
  -5.565  0.716E-02  0.239E-02  0.239E-02  0.239E-02
  -5.515  0.956E-02  0.319E-02  0.319E-02  0.319E-02
  -5.465  0.122E-01  0.408E-02  0.408E-02  0.408E-02
  -5.415  0.148E-01  0.493E-02  0.493E-02  0.493E-02
  -5.365  0.170E-01  0.566E-02  0.566E-02  0.566E-02
  -5.315  0.191E-01  0.637E-02  0.637E-02  0.637E-02
  -5.265  0.219E-01  0.731E-02  0.731E-02  0.731E-02
  -5.215  0.256E-01  0.852E-02  0.852E-02  0.852E-02
  -5.165  0.290E-01  0.965E-02  0.965E-02  0.965E-02
  -5.115  0.309E-01  0.103E-01  0.103E-01  0.103E-01
  -5.065  0.317E-01  0.106E-01  0.106E-01  0.106E-01
  -5.015  0.329E-01  0.110E-01  0.110E-01  0.110E-01
  -4.965  0.361E-01  0.120E-01  0.120E-01  0.120E-01
  -4.915  0.413E-01  0.138E-01  0.138E-01  0.138E-01
  -4.865  0.462E-01  0.154E-01  0.154E-01  0.154E-01
  -4.815  0.484E-01  0.161E-01  0.161E-01  0.161E-01
  -4.765  0.478E-01  0.159E-01  0.159E-01  0.159E-01
  -4.715  0.467E-01  0.156E-01  0.156E-01  0.156E-01
  -4.665  0.482E-01  0.161E-01  0.161E-01  0.161E-01
  -4.615  0.526E-01  0.175E-01  0.175E-01  0.175E-01
  -4.565  0.582E-01  0.194E-01  0.194E-01  0.194E-01
  -4.515  0.630E-01  0.210E-01  0.210E-01  0.210E-01
  -4.465  0.666E-01  0.222E-01  0.222E-01  0.222E-01
  -4.415  0.683E-01  0.228E-01  0.228E-01  0.228E-01
  -4.365  0.672E-01  0.224E-01  0.224E-01  0.224E-01
  -4.315  0.645E-01  0.215E-01  0.215E-01  0.215E-01
  -4.265  0.638E-01  0.213E-01  0.213E-01  0.213E-01
  -4.215  0.676E-01  0.225E-01  0.225E-01  0.225E-01
  -4.165  0.752E-01  0.251E-01  0.251E-01  0.251E-01
  -4.115  0.835E-01  0.278E-01  0.278E-01  0.278E-01
  -4.065  0.895E-01  0.298E-01  0.298E-01  0.298E-01
  -4.015  0.915E-01  0.305E-01  0.305E-01  0.305E-01
  -3.965  0.895E-01  0.298E-01  0.298E-01  0.298E-01
  -3.915  0.852E-01  0.284E-01  0.284E-01  0.284E-01
  -3.865  0.812E-01  0.271E-01  0.271E-01  0.271E-01
  -3.815  0.814E-01  0.271E-01  0.271E-01  0.271E-01
  -3.765  0.886E-01  0.295E-01  0.295E-01  0.295E-01
  -3.715  0.101E+00  0.338E-01  0.338E-01  0.338E-01
  -3.665  0.115E+00  0.382E-01  0.382E-01  0.382E-01
  -3.615  0.122E+00  0.408E-01  0.408E-01  0.408E-01
  -3.565  0.123E+00  0.410E-01  0.410E-01  0.410E-01
  -3.515  0.118E+00  0.394E-01  0.394E-01  0.394E-01
  -3.465  0.113E+00  0.376E-01  0.376E-01  0.376E-01
  -3.415  0.111E+00  0.371E-01  0.371E-01  0.371E-01
  -3.365  0.117E+00  0.388E-01  0.388E-01  0.388E-01
  -3.315  0.127E+00  0.424E-01  0.424E-01  0.424E-01
  -3.265  0.139E+00  0.465E-01  0.465E-01  0.465E-01
  -3.215  0.147E+00  0.490E-01  0.490E-01  0.490E-01
  -3.165  0.145E+00  0.483E-01  0.483E-01  0.483E-01
  -3.115  0.134E+00  0.446E-01  0.446E-01  0.446E-01
  -3.065  0.120E+00  0.398E-01  0.398E-01  0.398E-01
  -3.015  0.112E+00  0.372E-01  0.372E-01  0.372E-01
  -2.965  0.113E+00  0.378E-01  0.378E-01  0.378E-01
  -2.915  0.120E+00  0.399E-01  0.399E-01  0.399E-01
  -2.865  0.124E+00  0.414E-01  0.414E-01  0.414E-01
  -2.815  0.125E+00  0.415E-01  0.415E-01  0.415E-01
  -2.765  0.123E+00  0.410E-01  0.410E-01  0.410E-01
  -2.715  0.119E+00  0.398E-01  0.398E-01  0.398E-01
  -2.665  0.112E+00  0.372E-01  0.372E-01  0.372E-01
  -2.615  0.102E+00  0.341E-01  0.341E-01  0.341E-01
  -2.565  0.974E-01  0.325E-01  0.325E-01  0.325E-01
  -2.515  0.998E-01  0.333E-01  0.333E-01  0.333E-01
  -2.465  0.105E+00  0.351E-01  0.351E-01  0.351E-01
  -2.415  0.108E+00  0.360E-01  0.360E-01  0.360E-01
  -2.365  0.106E+00  0.352E-01  0.352E-01  0.352E-01
  -2.315  0.985E-01  0.328E-01  0.328E-01  0.328E-01
  -2.265  0.880E-01  0.293E-01  0.293E-01  0.293E-01
  -2.215  0.778E-01  0.259E-01  0.259E-01  0.259E-01
  -2.165  0.730E-01  0.243E-01  0.243E-01  0.243E-01
  -2.115  0.759E-01  0.253E-01  0.253E-01  0.253E-01
  -2.065  0.823E-01  0.274E-01  0.274E-01  0.274E-01
  -2.015  0.854E-01  0.285E-01  0.285E-01  0.285E-01
  -1.965  0.819E-01  0.273E-01  0.273E-01  0.273E-01
  -1.915  0.729E-01  0.243E-01  0.243E-01  0.243E-01
  -1.865  0.606E-01  0.202E-01  0.202E-01  0.202E-01
  -1.815  0.473E-01  0.158E-01  0.158E-01  0.158E-01
  -1.765  0.361E-01  0.120E-01  0.120E-01  0.120E-01
  -1.715  0.298E-01  0.994E-02  0.994E-02  0.994E-02
  -1.665  0.293E-01  0.976E-02  0.976E-02  0.976E-02
  -1.615  0.329E-01  0.110E-01  0.110E-01  0.110E-01
  -1.565  0.371E-01  0.124E-01  0.124E-01  0.124E-01
  -1.515  0.387E-01  0.129E-01  0.129E-01  0.129E-01
  -1.465  0.358E-01  0.119E-01  0.119E-01  0.119E-01
  -1.415  0.299E-01  0.997E-02  0.997E-02  0.997E-02
  -1.365  0.244E-01  0.814E-02  0.814E-02  0.814E-02
  -1.315  0.228E-01  0.760E-02  0.760E-02  0.760E-02
  -1.265  0.284E-01  0.947E-02  0.947E-02  0.947E-02
  -1.215  0.445E-01  0.148E-01  0.148E-01  0.148E-01
  -1.165  0.703E-01  0.234E-01  0.234E-01  0.234E-01
  -1.115  0.964E-01  0.321E-01  0.321E-01  0.321E-01
  -1.065  0.109E+00  0.364E-01  0.364E-01  0.364E-01
  -1.015  0.104E+00  0.347E-01  0.347E-01  0.347E-01
  -0.965  0.899E-01  0.300E-01  0.300E-01  0.300E-01
  -0.915  0.821E-01  0.274E-01  0.274E-01  0.274E-01
  -0.865  0.954E-01  0.318E-01  0.318E-01  0.318E-01
  -0.815  0.139E+00  0.462E-01  0.462E-01  0.462E-01
  -0.765  0.209E+00  0.697E-01  0.697E-01  0.697E-01
  -0.715  0.289E+00  0.962E-01  0.962E-01  0.962E-01
  -0.665  0.354E+00  0.118E+00  0.118E+00  0.118E+00
  -0.615  0.389E+00  0.130E+00  0.130E+00  0.130E+00
  -0.565  0.391E+00  0.130E+00  0.130E+00  0.130E+00
  -0.515  0.371E+00  0.124E+00  0.124E+00  0.124E+00
  -0.465  0.339E+00  0.113E+00  0.113E+00  0.113E+00
  -0.415  0.305E+00  0.102E+00  0.102E+00  0.102E+00
  -0.365  0.277E+00  0.924E-01  0.924E-01  0.924E-01
  -0.315  0.256E+00  0.854E-01  0.854E-01  0.854E-01
  -0.265  0.241E+00  0.803E-01  0.803E-01  0.803E-01
  -0.215  0.228E+00  0.760E-01  0.760E-01  0.760E-01
  -0.165  0.213E+00  0.712E-01  0.712E-01  0.712E-01
  -0.115  0.196E+00  0.654E-01  0.654E-01  0.654E-01
  -0.065  0.182E+00  0.606E-01  0.606E-01  0.606E-01
  -0.015  0.178E+00  0.593E-01  0.593E-01  0.593E-01
