# E (eV)   ldos(E)   pdos(E)   
  -6.165  0.241E-06  0.241E-06
  -6.115  0.224E-05  0.224E-05
  -6.065  0.163E-04  0.163E-04
  -6.015  0.934E-04  0.934E-04
  -5.965  0.421E-03  0.421E-03
  -5.915  0.150E-02  0.150E-02
  -5.865  0.428E-02  0.428E-02
  -5.815  0.990E-02  0.990E-02
  -5.765  0.189E-01  0.189E-01
  -5.715  0.308E-01  0.308E-01
  -5.665  0.436E-01  0.436E-01
  -5.615  0.553E-01  0.553E-01
  -5.565  0.648E-01  0.648E-01
  -5.515  0.730E-01  0.730E-01
  -5.465  0.809E-01  0.809E-01
  -5.415  0.875E-01  0.875E-01
  -5.365  0.911E-01  0.911E-01
  -5.315  0.933E-01  0.933E-01
  -5.265  0.976E-01  0.976E-01
  -5.215  0.105E+00  0.105E+00
  -5.165  0.113E+00  0.113E+00
  -5.115  0.115E+00  0.115E+00
  -5.065  0.113E+00  0.113E+00
  -5.015  0.111E+00  0.111E+00
  -4.965  0.115E+00  0.115E+00
  -4.915  0.126E+00  0.126E+00
  -4.865  0.137E+00  0.137E+00
  -4.815  0.140E+00  0.140E+00
  -4.765  0.135E+00  0.135E+00
  -4.715  0.128E+00  0.128E+00
  -4.665  0.128E+00  0.128E+00
  -4.615  0.136E+00  0.136E+00
  -4.565  0.147E+00  0.147E+00
  -4.515  0.157E+00  0.157E+00
  -4.465  0.163E+00  0.163E+00
  -4.415  0.165E+00  0.165E+00
  -4.365  0.160E+00  0.160E+00
  -4.315  0.151E+00  0.151E+00
  -4.265  0.147E+00  0.147E+00
  -4.215  0.154E+00  0.154E+00
  -4.165  0.169E+00  0.169E+00
  -4.115  0.186E+00  0.186E+00
  -4.065  0.197E+00  0.197E+00
  -4.015  0.201E+00  0.201E+00
  -3.965  0.196E+00  0.196E+00
  -3.915  0.186E+00  0.186E+00
  -3.865  0.177E+00  0.177E+00
  -3.815  0.176E+00  0.176E+00
  -3.765  0.190E+00  0.190E+00
  -3.715  0.217E+00  0.217E+00
  -3.665  0.245E+00  0.245E+00
  -3.615  0.264E+00  0.264E+00
  -3.565  0.268E+00  0.268E+00
  -3.515  0.263E+00  0.263E+00
  -3.465  0.254E+00  0.254E+00
  -3.415  0.251E+00  0.251E+00
  -3.365  0.260E+00  0.260E+00
  -3.315  0.280E+00  0.280E+00
  -3.265  0.304E+00  0.304E+00
  -3.215  0.317E+00  0.317E+00
  -3.165  0.309E+00  0.309E+00
  -3.115  0.282E+00  0.282E+00
  -3.065  0.248E+00  0.248E+00
  -3.015  0.227E+00  0.227E+00
  -2.965  0.227E+00  0.227E+00
  -2.915  0.237E+00  0.237E+00
  -2.865  0.243E+00  0.243E+00
  -2.815  0.242E+00  0.242E+00
  -2.765  0.237E+00  0.237E+00
  -2.715  0.228E+00  0.228E+00
  -2.665  0.212E+00  0.212E+00
  -2.615  0.192E+00  0.192E+00
  -2.565  0.180E+00  0.180E+00
  -2.515  0.180E+00  0.180E+00
  -2.465  0.187E+00  0.187E+00
  -2.415  0.190E+00  0.190E+00
  -2.365  0.186E+00  0.186E+00
  -2.315  0.175E+00  0.175E+00
  -2.265  0.157E+00  0.157E+00
  -2.215  0.137E+00  0.137E+00
  -2.165  0.126E+00  0.126E+00
  -2.115  0.127E+00  0.127E+00
  -2.065  0.134E+00  0.134E+00
  -2.015  0.137E+00  0.137E+00
  -1.965  0.132E+00  0.132E+00
  -1.915  0.118E+00  0.118E+00
  -1.865  0.987E-01  0.987E-01
  -1.815  0.773E-01  0.773E-01
  -1.765  0.583E-01  0.583E-01
  -1.715  0.462E-01  0.462E-01
  -1.665  0.430E-01  0.430E-01
  -1.615  0.465E-01  0.465E-01
  -1.565  0.519E-01  0.519E-01
  -1.515  0.539E-01  0.539E-01
  -1.465  0.498E-01  0.498E-01
