# z(A)  V_planar_avg(eV)
0.00000 7.50858
0.06187 7.50859
0.12375 7.50858
0.18562 7.50859
0.24750 7.50858
0.30937 7.50859
0.37125 7.50858
0.43312 7.50858
0.49500 7.50857
0.55687 7.50858
0.61875 7.50856
0.68062 7.50858
0.74249 7.50856
0.80437 7.50858
0.86624 7.50856
0.92812 7.50857
0.98999 7.50855
1.05187 7.50857
1.11374 7.50855
1.17562 7.50857
1.23749 7.50855
1.29937 7.50857
1.36124 7.50854
1.42311 7.50856
1.48499 7.50853
1.54686 7.50855
1.60874 7.50853
1.67061 7.50855
1.73249 7.50852
1.79436 7.50855
1.85624 7.50852
1.91811 7.50854
1.97999 7.50851
2.04186 7.50853
2.10373 7.50850
2.16561 7.50852
2.22748 7.50849
2.28936 7.50851
2.35123 7.50848
2.41311 7.50849
2.47498 7.50846
2.53686 7.50847
2.59873 7.50844
2.66061 7.50845
2.72248 7.50841
2.78435 7.50841
2.84623 7.50837
2.90810 7.50837
2.96998 7.50833
3.03185 7.50831
3.09373 7.50827
3.15560 7.50824
3.21748 7.50819
3.27935 7.50814
3.34123 7.50808
3.40310 7.50801
3.46497 7.50793
3.52685 7.50784
3.58872 7.50773
3.65060 7.50760
3.71247 7.50746
3.77435 7.50728
3.83622 7.50709
3.89810 7.50685
3.95997 7.50659
4.02185 7.50626
4.08372 7.50591
4.14559 7.50546
4.20747 7.50497
4.26934 7.50437
4.33122 7.50371
4.39309 7.50288
4.45497 7.50198
4.51684 7.50087
4.57872 7.49963
4.64059 7.49813
4.70247 7.49644
4.76434 7.49440
4.82621 7.49211
4.88809 7.48935
4.94996 7.48622
5.01184 7.48249
5.07371 7.47824
5.13559 7.47320
5.19746 7.46742
5.25934 7.46061
5.32121 7.45278
5.38309 7.44356
5.44496 7.43295
5.50683 7.42052
5.56871 7.40616
5.63058 7.38937
5.69246 7.36997
5.75433 7.34732
5.81621 7.32114
5.87808 7.29063
5.93996 7.25533
6.00183 7.21424
6.06371 7.16670
6.12558 7.11146
6.18745 7.04754
6.24933 6.97337
6.31120 6.88758
6.37308 6.78815
6.43495 6.67321
6.49683 6.54018
6.55870 6.38652
6.62058 6.20887
6.68245 6.00379
6.74433 5.76685
6.80620 5.49335
6.86808 5.17739
6.92995 4.81243
6.99182 4.39021
7.05370 3.90107
7.11557 3.33253
7.17745 2.66936
7.23932 1.89126
7.30120 0.97455
7.36307 -0.10207
7.42495 -1.34682
7.48682 -2.75230
7.54870 -4.28639
7.61057 -5.88537
7.67244 -7.49604
7.73432 -9.06271
7.79619 -10.48918
7.85807 -11.66199
7.91994 -12.48983
7.98182 -12.88350
8.04369 -12.79520
8.10557 -12.24909
8.16744 -11.32862
8.22932 -10.12451
8.29119 -8.73417
8.35306 -7.27374
8.41494 -5.83031
8.47681 -4.46720
8.53869 -3.26417
8.60056 -2.29952
8.66244 -1.62179
8.72431 -1.26889
8.78619 -1.26387
8.84806 -1.60810
8.90994 -2.26036
8.97181 -3.13939
9.03368 -4.12107
9.09556 -5.05422
9.15743 -5.78550
9.21931 -6.19017
9.28118 -6.19875
9.34306 -5.81164
9.40493 -5.09937
9.46681 -4.18728
9.52868 -3.22919
9.59056 -2.37617
9.65243 -1.75213
9.71430 -1.43778
9.77618 -1.47378
9.83805 -1.85796
9.89993 -2.56651
9.96180 -3.56034
10.02368 -4.78932
10.08555 -6.17259
10.14743 -7.62799
10.20930 -9.08820
10.27118 -10.46041
10.33305 -11.62420
10.39492 -12.48947
10.45680 -12.99008
10.51867 -13.07447
10.58055 -12.73433
10.64242 -12.00639
10.70430 -10.95464
10.76617 -9.65363
10.82805 -8.21721
10.88992 -6.75355
10.95180 -5.33571
11.01367 -4.03767
11.07554 -2.94805
11.13742 -2.12834
11.19929 -1.62181
11.26117 -1.45948
11.32304 -1.65481
11.38492 -2.18575
11.44679 -2.98738
11.50867 -3.95366
11.57054 -4.94170
11.63242 -5.79714
11.69429 -6.38061
11.75616 -6.59971
11.81804 -6.42702
11.87991 -5.90871
11.94179 -5.15323
12.00366 -4.31049
12.06554 -3.53954
12.12741 -2.98366
12.18929 -2.74695
12.25116 -2.88676
12.31304 -3.40378
12.37491 -4.25613
12.43678 -5.38069
12.49866 -6.68465
12.56053 -8.08653
12.62241 -9.51671
12.68428 -10.87654
12.74616 -12.04970
12.80803 -12.95006
12.86991 -13.50052
12.93178 -13.64882
12.99366 -13.40795
13.05553 -12.85834
13.11740 -12.11293
13.17928 -11.29683
13.24115 -10.55803
13.30303 -9.98876
13.36490 -9.59983
13.42678 -9.36126
13.48865 -9.20372
13.55053 -9.00379
13.61240 -8.62747
13.67428 -7.96525
13.73615 -6.95992
13.79802 -5.62450
13.85990 -4.03944
13.92177 -2.33029
13.98365 -0.63493
14.04552 0.92516
14.10740 2.26823
14.16927 3.35730
14.23115 4.19954
14.29302 4.83104
14.35490 5.28890
14.41677 5.60559
14.47864 5.80575
14.54052 5.90934
14.60239 5.93093
14.66427 5.88200
14.72614 5.77018
14.78802 5.60097
14.84989 5.37684
14.91177 5.09872
14.97364 4.76480
15.03552 4.37170
15.09739 3.91289
15.15926 3.37973
15.22114 2.75933
15.28301 2.03530
15.34489 1.18443
15.40676 0.18065
15.46864 -0.99910
15.53051 -2.36315
15.59239 -3.90626
15.65426 -5.59397
15.71614 -7.37339
15.77801 -9.21022
15.83988 -11.05965
15.90176 -12.83907
15.96363 -14.46847
16.02551 -15.88607
16.08738 -17.02677
16.14926 -17.84951
16.21113 -18.34640
16.27301 -18.51930
16.33488 -18.32969
16.39676 -17.73690
16.45863 -16.71366
16.52050 -15.23708
16.58238 -13.33142
16.64425 -11.10704
16.70613 -8.71374
16.76800 -6.30564
16.82988 -4.02618
16.89175 -1.98101
16.95363 -0.22699
17.01550 1.22280
17.07738 2.39471
17.13925 3.33639
17.20112 4.09214
17.26300 4.69985
17.32487 5.18877
17.38675 5.58312
17.44862 5.90149
17.51050 6.15933
17.57237 6.36834
17.63425 6.53832
17.69612 6.67660
17.75800 6.78950
17.81987 6.88166
17.88174 6.95721
17.94362 7.01910
18.00549 7.07003
18.06737 7.11186
18.12924 7.14640
18.19112 7.17481
18.25299 7.19838
18.31487 7.21779
18.37674 7.23395
18.43862 7.24728
18.50049 7.25842
18.56236 7.26761
18.62424 7.27532
18.68611 7.28167
18.74799 7.28704
18.80986 7.29145
18.87174 7.29519
18.93361 7.29826
18.99549 7.30089
19.05736 7.30303
19.11924 7.30488
19.18111 7.30638
19.24299 7.30769
19.30486 7.30873
19.36673 7.30966
19.42861 7.31039
19.49048 7.31106
19.55236 7.31157
19.61423 7.31205
19.67611 7.31241
19.73798 7.31275
19.79986 7.31300
19.86173 7.31325
19.92361 7.31342
19.98548 7.31360
20.04735 7.31373
20.10923 7.31386
20.17110 7.31394
20.23298 7.31404
20.29485 7.31410
20.35673 7.31417
20.41860 7.31421
20.48048 7.31426
20.54235 7.31429
20.60423 7.31432
20.66610 7.31434
20.72797 7.31437
20.78985 7.31439
20.85172 7.31440
20.91360 7.31441
20.97547 7.31442
21.03735 7.31443
21.09922 7.31443
21.16110 7.31445
21.22297 7.31445
21.28485 7.31446
21.34672 7.31445
21.40859 7.31446
21.47047 7.31445
21.53234 7.31447
21.59422 7.31445
21.65609 7.31447
21.71797 7.31446
21.77984 7.31448
21.84172 7.31446
21.90359 7.31448
21.96547 7.31446
22.02734 7.31448
22.08921 7.31446
22.15109 7.31448
22.21296 7.31446
22.27484 7.31449
22.33671 7.32417
22.39859 7.33390
22.46046 7.34358
22.52234 7.35331
22.58421 7.36299
22.64609 7.37272
22.70796 7.38241
22.76983 7.39214
22.83171 7.40182
22.89358 7.41155
22.95546 7.42124
23.01733 7.43096
23.07921 7.44065
23.14108 7.45038
23.20296 7.46006
23.26483 7.46979
23.32671 7.47947
23.38858 7.48920
23.45045 7.49889
23.51233 7.50861
23.57420 7.50860
23.63608 7.50861
23.69795 7.50859
23.75983 7.50861
23.82170 7.50859
23.88358 7.50861
23.94545 7.50859
24.00733 7.50861
24.06920 7.50859
24.13107 7.50860
24.19295 7.50859
24.25482 7.50860
24.31670 7.50859
24.37857 7.50859
24.44045 7.50859
24.50232 7.50859
24.56420 7.50859
24.62607 7.50859
24.68795 7.50858
