# step  T(K)  Econs(Ry)
1.000000 300.000000 -741.450110
2.000000 278.642754 -741.551805
3.000000 268.296611 -741.636152
4.000000 265.083704 -741.639084
5.000000 245.127489 -741.640404
6.000000 199.218108 -741.640616
7.000000 189.558696 -741.640508
8.000000 189.190483 -741.641088
9.000000 163.082046 -741.641258
10.000000 150.644866 -741.641529
11.000000 134.013858 -741.642012
12.000000 109.595220 -741.641837
13.000000 108.505063 -741.641887
14.000000 99.108779 -741.642236
15.000000 79.216330 -741.641696
16.000000 91.136461 -741.641633
17.000000 85.603692 -741.641089
18.000000 97.048579 -741.641245
19.000000 83.332133 -741.641272
20.000000 74.766211 -741.641615
21.000000 55.620250 -741.641102
22.000000 67.712003 -741.640466
23.000000 83.761814 -741.640380
24.000000 80.032378 -741.640340
25.000000 75.266498 -741.640441
26.000000 66.191866 -741.640488
27.000000 59.920530 -741.640750
28.000000 47.024439 -741.640254
29.000000 61.941509 -741.640083
30.000000 65.753280 -741.640239
31.000000 58.772097 -741.639918
32.000000 69.469646 -741.639443
33.000000 86.217263 -741.639244
34.000000 93.967821 -741.639338
35.000000 92.040686 -741.639396
36.000000 91.932407 -741.639489
37.000000 91.087796 -741.639440
38.000000 95.644534 -741.639246
39.000000 105.701080 -741.639086
40.000000 114.883771 -741.639018
41.000000 121.044392 -741.638385
42.000000 147.112720 -741.637989
43.000000 164.949904 -741.637425
44.000000 188.478421 -741.637660
45.000000 183.574300 -741.637030
46.000000 208.458541 -741.637368
47.000000 198.741718 -741.637153
48.000000 207.736787 -741.637426
49.000000 198.873974 -741.637467
50.000000 197.493314 -741.637961
51.000000 179.507040 -741.638406
52.000000 162.885038 -741.638570
53.000000 155.877725 -741.638447
54.000000 158.623624 -741.637815
55.000000 178.692311 -741.638110
56.000000 165.221907 -741.637125
57.000000 196.457436 -741.637363
58.000000 183.260642 -741.637296
59.000000 180.467581 -741.637640
60.000000 162.687772 -741.637662
61.000000 156.202347 -741.637663
62.000000 150.194497 -741.636476
63.000000 185.592570 -741.635894
64.000000 197.688022 -741.636159
65.000000 178.803673 -741.636257
66.000000 165.898955 -741.636709
67.000000 140.653219 -741.636938
68.000000 124.135831 -741.637162
69.000000 108.569120 -741.637057
70.000000 105.441385 -741.637137
71.000000 96.215991 -741.637229
72.000000 87.481453 -741.637410
73.000000 76.758524 -741.637589
74.000000 67.472933 -741.637532
75.000000 67.980506 -741.637561
76.000000 66.719901 -741.637603
77.000000 66.406441 -741.638076
78.000000 52.470162 -741.638230
79.000000 51.333313 -741.638228
80.000000 57.189086 -741.638454
81.000000 56.669957 -741.638384
82.000000 67.755195 -741.637829
83.000000 97.429019 -741.638000
84.000000 103.895909 -741.638214
85.000000 109.618563 -741.638490
86.000000 113.732078 -741.638401
87.000000 131.014935 -741.638180
88.000000 153.753073 -741.638138
89.000000 171.056539 -741.638672
90.000000 168.478606 -741.638620
91.000000 185.880305 -741.638189
92.000000 216.703237 -741.638098
93.000000 235.978998 -741.638672
94.000000 231.664070 -741.638134
95.000000 265.352602 -741.637602
96.000000 298.754927 -741.637340
97.000000 322.348463 -741.637012
98.000000 347.520115 -741.637364
99.000000 347.933341 -741.637811
100.000000 343.598412 -741.637319
101.000000 370.849252 -741.637803
102.000000 362.750073 -741.638879
103.000000 332.448946 -741.638861
104.000000 338.948905 -741.639105
105.000000 335.134506 -741.638949
106.000000 344.132489 -741.639449
107.000000 328.962935 -741.639494
108.000000 328.615201 -741.639634
109.000000 323.868736 -741.639251
110.000000 336.393396 -741.640136
111.000000 303.405318 -741.640290
112.000000 295.204561 -741.640185
113.000000 295.262252 -741.639703
114.000000 307.722635 -741.641259
115.000000 247.722456 -741.642322
116.000000 204.957572 -741.642003
117.000000 210.703829 -741.642771
118.000000 177.805249 -741.642952
119.000000 165.650523 -741.643119
120.000000 153.986209 -741.643379
121.000000 139.030749 -741.642915
122.000000 149.674806 -741.643153
123.000000 135.299490 -741.643176
124.000000 128.675478 -741.643546
125.000000 109.932630 -741.643314
126.000000 112.798657 -741.643220
127.000000 110.771482 -741.643695
128.000000 88.881968 -741.643281
129.000000 98.857941 -741.642579
130.000000 118.838852 -741.642729
131.000000 108.596151 -741.642641
132.000000 107.017581 -741.643287
133.000000 79.897897 -741.642900
134.000000 89.998858 -741.642665
135.000000 94.865317 -741.642746
136.000000 88.950998 -741.642490
137.000000 95.357816 -741.642501
138.000000 92.777941 -741.641717
139.000000 118.664039 -741.641830
140.000000 113.291546 -741.641849
141.000000 111.751433 -741.642198
142.000000 99.165590 -741.641749
143.000000 115.233965 -741.641436
144.000000 127.083984 -741.641408
145.000000 129.472438 -741.641454
146.000000 129.790256 -741.641213
147.000000 140.624225 -741.641896
148.000000 119.510964 -741.641902
149.000000 122.291736 -741.642075
150.000000 119.582259 -741.642401
151.000000 111.747402 -741.642056
152.000000 127.568559 -741.642337
153.000000 121.758372 -741.641595
154.000000 151.741778 -741.641814
155.000000 148.260623 -741.642352
156.000000 133.336742 -741.642278
157.000000 139.400488 -741.642110
158.000000 148.516243 -741.642791
159.000000 127.472256 -741.642968
160.000000 123.575504 -741.642988
161.000000 124.700778 -741.643268
162.000000 116.333171 -741.643310
163.000000 115.822328 -741.643234
164.000000 119.015241 -741.643021
165.000000 126.577564 -741.642988
166.000000 127.298413 -741.642706
167.000000 136.187049 -741.643033
168.000000 123.132916 -741.643129
169.000000 117.760915 -741.642732
170.000000 129.293716 -741.643068
171.000000 114.484535 -741.642867
172.000000 118.331797 -741.643261
173.000000 100.846098 -741.643304
174.000000 95.778580 -741.642992
175.000000 103.080447 -741.642845
176.000000 104.223103 -741.642437
177.000000 114.396935 -741.642269
178.000000 115.780985 -741.641615
179.000000 134.027836 -741.641175
180.000000 144.280985 -741.641359
181.000000 132.217605 -741.641254
182.000000 130.468062 -741.640447
183.000000 153.382564 -741.640821
184.000000 134.294425 -741.640906
185.000000 125.819484 -741.641198
186.000000 110.453332 -741.640768
187.000000 121.023316 -741.641103
188.000000 104.861827 -741.641127
189.000000 100.347108 -741.641444
190.000000 86.128011 -741.640611
191.000000 113.151924 -741.640289
192.000000 122.452864 -741.640570
193.000000 111.116160 -741.640182
194.000000 123.933755 -741.640052
195.000000 128.306023 -741.639975
196.000000 131.450627 -741.640090
197.000000 128.519245 -741.639868
198.000000 138.124266 -741.639951
199.000000 137.700075 -741.639728
200.000000 148.741373 -741.639881
